,n_enrolled,Level,subject,language,subtitles,price
566,80425.0,Introductory,Data Analysis & Statistics,Español,Español,25.0
567,7253.0,Introductory,Art & Culture,English,English,249.0
568,12826.0,Intermediate,Social Sciences,Español,Español,25.0
569,25024.0,Introductory,Engineering,Español,Español,75.0
570,5289.0,Introductory,Education & Teacher Training,English,English,139.0
571,10281.0,Advanced,Business & Management,English,English,149.0
572,44669.0,Intermediate,Math,English,English,100.0
573,40620.0,Intermediate,Computer Science,English,English,99.0
574,51918.0,Intermediate,Engineering,English,English,50.0
575,7789.0,Intermediate,Economics & Finance,Español,Español,49.0
576,44037.0,Intermediate,Business & Management,Français,Français,150.0
577,34550.0,Introductory,Computer Science,English,English,169.0
578,31077.0,Introductory,Business & Management,English,English,149.0
579,26453.0,Introductory,Biology & Life Sciences,English,English,49.0
580,9028.0,Advanced,Economics & Finance,English,English,199.0
581,6169.0,Introductory,Language,English,English,99.0
582,9752.0,Introductory,Engineering,English,English,50.0
583,39137.0,Intermediate,Computer Science,English,English,149.0
584,,Introductory,Computer Science,Español,Español,49.0
585,12384.0,Intermediate,Language,English,English,149.0
586,26060.0,Intermediate,Math,Español,Español,50.0
587,17321.0,Introductory,Humanities,English,English,149.0
588,9010.0,Introductory,Computer Science,English,English,99.0
589,,Intermediate,Engineering,English,English,50.0
590,37538.0,Introductory,Social Sciences,English,English,49.0
591,9899.0,Introductory,Education & Teacher Training,English,English,49.0
592,31031.0,Introductory,Business & Management,English,English,249.0
593,,Intermediate,Economics & Finance,Español,Español,49.0
594,19520.0,Advanced,Energy & Earth Sciences,English,English,375.0
595,35162.0,Intermediate,Biology & Life Sciences,English,English,169.0
596,19728.0,Introductory,Humanities,English,English,49.0
597,5311.0,Advanced,Computer Science,English,English,149.0
598,25041.0,Introductory,Engineering,English,"English, 日本語",50.0
599,,Introductory,Language,Español,Español,49.0
600,11184.0,Introductory,Computer Science,Español,Español,49.0
601,,Introductory,Computer Science,Español,Español,49.0
602,11443.0,Introductory,Social Sciences,English,English,49.0
603,6923.0,Introductory,Business & Management,English,English,149.0
604,7581.0,Introductory,Electronics,English,English,50.0
605,,Introductory,Economics & Finance,English,English,199.0
606,20261.0,Introductory,Medicine,Español,Español,49.0
607,13340.0,Intermediate,Business & Management,English,English,299.0
608,,Introductory,Communication,English,English,199.0
609,41021.0,Intermediate,Computer Science,English,English,249.0
610,27761.0,Intermediate,Computer Science,English,English,149.0
611,7460.0,Introductory,Communication,English,English,49.0
612,22089.0,Advanced,Engineering,English,English,249.0
613,40106.0,Intermediate,Computer Science,English,English,199.0
614,26600.0,Introductory,Biology & Life Sciences,English,English,49.0
615,69064.0,Introductory,Business & Management,English,English,50.0
616,6409.0,Introductory,Economics & Finance,Español,Español,49.0
617,19171.0,Introductory,Computer Science,English,English,49.0
618,65711.0,Intermediate,Physics,English,English,50.0
619,8644.0,Intermediate,Environmental Studies,English,English,50.0
620,21591.0,Introductory,Computer Science,English,English,199.0
621,8192.0,Introductory,Computer Science,English,English,49.0
622,7360.0,Introductory,Science,Español,"English, Español",50.0
623,46607.0,Introductory,Business & Management,English,English,49.0
624,13480.0,Introductory,Computer Science,Español,Español,49.0
625,5980.0,Intermediate,Data Analysis & Statistics,Español,Español,49.0
626,,Introductory,Business & Management,Español,Español,49.0
627,10488.0,Intermediate,Environmental Studies,English,"English, Русский",49.0
628,,Introductory,Economics & Finance,English,English,79.0
629,5410.0,Introductory,Economics & Finance,English,English,99.0
630,23441.0,Intermediate,Business & Management,Español,Español,79.0
631,,Introductory,Data Analysis & Statistics,Español,Español,39.0
632,,Intermediate,Health & Safety,Español,"English, Español",29.0
633,9762.0,Intermediate,Engineering,Español,Español,49.0
634,17055.0,Intermediate,Business & Management,English,English,99.0
635,,Introductory,Business & Management,Português,Português,149.0
636,5719.0,Introductory,Humanities,English,English,49.0
637,16905.0,Intermediate,Engineering,English,English,150.0
638,,Introductory,Medicine,English,"English, Français, 中文, 中文",99.0
639,33656.0,Introductory,Business & Management,English,"Deutsch, English, Español, Français",99.0
640,28472.0,Introductory,Environmental Studies,English,,99.0
641,37158.0,Introductory,Computer Science,English,English,50.0
